DATE_OF_INTEREST,Cases,Hospitalizations,Deaths,Cumulative_Deaths,ma_deaths,betas
3/3/20,2,7.0,0.0,0.0,0.0,0.0
3/4/20,5,8.0,0.0,0.0,0.0,0.0
3/5/20,3,13.0,0.0,0.0,0.0,0.0
3/6/20,7,12.0,0.0,0.0,0.0,0.0
3/7/20,7,10.0,0.0,0.0,0.0,0.0
3/8/20,21,14.0,0.0,0.0,0.0,0.0
3/9/20,57,36.0,0.0,0.0,0.0,0.0
3/10/20,70,46.0,0.0,0.3333333333333333,0.3333333333333333,0.0
3/11/20,153,70.0,1.0,0.9761904761904762,0.6666666666666666,2.0000000794596775
3/12/20,355,74.0,1.0,1.57312925170068,0.6666666666666666,0.682926908727976
3/13/20,618,135.0,0.0,2.460762876579203,1.0,0.6356757948652094
3/14/20,642,152.0,2.0,4.951660766347355,2.6666666666666665,1.0836750969275004
3/15/20,1028,187.0,6.0,10.264637378274927,5.666666666666667,1.1443978653723907
3/16/20,2115,299.0,9.0,16.864782327445766,7.333333333333333,0.7144278005122199
3/17/20,2446,339.0,7.0,27.993488351675833,12.333333333333334,0.7313084678602031
3/18/20,2949,439.0,21.0,43.327286802746606,17.333333333333332,0.6191936835081401
3/19/20,3678,533.0,24.0,70.23248060255042,30.0,0.6924078828689204
3/20/20,3984,622.0,45.0,101.88254151189207,36.666666666666664,0.5220800018795871
3/21/20,2600,663.0,41.0,139.27188378485215,44.666666666666664,0.4384186771599911
3/22/20,2545,690.0,48.0,186.6572254192675,57.333333333333336,0.4116716418984774
3/23/20,3502,1023.0,83.0,248.3245664607484,75.0,0.40181497628830437
3/24/20,4388,1136.0,94.0,329.92043076117113,99.33333333333333,0.40002596147747344
3/25/20,4734,1252.0,121.0,439.68801904013515,133.33333333333334,0.4041537418761064
3/26/20,4925,1387.0,185.0,579.9483986325065,171.66666666666666,0.39044880938676585
3/27/20,4990,1343.0,209.0,758.1901796825655,219.66666666666666,0.37879551425892716
3/28/20,3386,1271.0,265.0,956.0337382766679,252.0,0.3324004736905561
3/29/20,3438,1351.0,282.0,1174.7456141140487,287.0,0.3002328219745181
3/30/20,6015,1638.0,314.0,1412.5018797725693,321.6666666666667,0.27385649116253896
3/31/20,5167,1480.0,369.0,1678.9422216935761,367.3333333333333,0.2601024406135775
4/1/20,5023,1454.0,419.0,1973.684443953559,414.6666666666667,0.24703033720752188
4/2/20,5643,1605.0,456.0,2279.040317004495,446.3333333333333,0.22619540624574996
4/3/20,5516,1592.0,464.0,2581.585056266079,465.3333333333333,0.20423498710509705
4/4/20,3752,1345.0,476.0,2887.8527903423114,490.6666666666667,0.19012261053685214
4/5/20,3614,1343.0,532.0,3200.5775910321463,519.0,0.17978018268825988
4/6/20,6211,1684.0,549.0,3523.631572625088,551.6666666666666,0.17243049995714327
4/7/20,5923,1513.0,574.0,3819.276936485201,547.3333333333334,0.15539743234811007
4/8/20,5404,1421.0,519.0,4084.138107688639,537.6666666666666,0.14084119651207894
4/9/20,4868,1291.0,520.0,4304.747290472784,512.3333333333334,0.12550575866726496
4/10/20,4240,1219.0,498.0,4504.598674486632,507.3333333333333,0.11791488225956338
4/11/20,3566,995.0,504.0,4692.508292975683,509.6666666666667,0.11320441420257586
4/12/20,2714,926.0,527.0,4876.995795858373,519.6666666666666,0.11080587294921888
4/13/20,3212,1098.0,528.0,5040.972286630394,512.3333333333334,0.10511211011497523
4/14/20,4055,968.0,482.0,5159.569504252033,478.6666666666667,0.09501231312493379
4/15/20,3798,853.0,426.0,5220.362158710221,429.3333333333333,0.0832622801364764
4/16/20,3453,689.0,380.0,5231.81248070711,384.3333333333333,0.07366780455062044
4/17/20,3499,721.0,347.0,5216.11158922803,358.0,0.06847022542254913
4/18/20,2079,521.0,347.0,5189.86552333079,346.3333333333333,0.06643814626884904
4/19/20,2284,476.0,345.0,5157.160843092876,338.0,0.0651672393240956
4/20/20,3712,539.0,322.0,5105.125544776718,316.3333333333333,0.06137638638134351
4/21/20,3002,527.0,282.0,5035.807053483143,295.3333333333333,0.05788557868322592
4/22/20,3414,434.0,282.0,4957.773216329586,281.6666666666667,0.05596636762946713
4/23/20,2785,369.0,281.0,4879.313224686997,275.6666666666667,0.05563579582892345
4/24/20,2397,356.0,264.0,4781.790851495069,251.0,0.0514715997270831
4/25/20,1514,272.0,208.0,4666.234362102564,226.0,0.047289579733099885
4/26/20,983,246.0,206.0,4539.931907666667,207.0,0.04438593829516543
4/27/20,2223,316.0,207.0,4409.317723785715,193.66666666666666,0.042681591432016525
4/28/20,2632,287.0,168.0,4270.366457801021,176.0,0.03993646080550368
4/29/20,2229,210.0,153.0,4115.673615577139,150.33333333333334,0.035221775667272644
4/30/20,1878,154.0,130.0,3952.0302620835337,130.33333333333334,0.031683100088268946
5/1/20,1618,198.0,108.0,3780.0757195537576,110.33333333333333,0.027931296569067572
5/2/20,922,135.0,93.0,3597.403644347537,87.33333333333333,0.02311400754405805
5/3/20,557,118.0,61.0,3404.446241179856,64.0,0.01779823994170772
5/4/20,711,46.0,38.0,3196.271509667009,35.0,0.010284846751753984
5/5/20,21,0.0,6.0,2984.6330685003177,16.666666666666668,0.0052163961676443315
